id,carat,cut,color,clarity,depth,table,x,y,z
53,1.21,Ideal,F,SI1,61.1,55.0,6.87,6.85,4.19
54,1.21,Premium,F,SI2,61.5,57.0,6.93,6.88,4.25
55,0.56,Ideal,G,VVS1,62.3,55.0,5.31,5.25,3.29
56,1.58,Premium,J,VVS2,61.0,58.0,7.56,7.49,4.59
57,0.53,Ideal,E,VVS2,60.5,57.0,5.24,5.28,3.18
58,1.02,Good,E,SI2,63.3,59.0,6.32,6.42,4.03
59,0.58,Ideal,D,VVS2,63.0,56.0,5.35,5.28,3.35
60,0.54,Ideal,F,SI2,61.1,56.0,5.22,5.26,3.2
61,0.23,Very Good,E,VVS1,62.1,58.0,3.9,3.93,2.43
62,1.01,Premium,D,VS2,60.0,59.0,6.53,6.48,3.9
63,0.31,Ideal,E,IF,60.4,56.0,4.43,4.38,2.66
64,1.52,Premium,I,SI1,61.9,58.0,7.37,7.42,4.58
65,2.02,Very Good,H,VS2,61.5,59.0,8.08,8.21,5.01
66,0.36,Premium,F,VS1,60.7,58.0,4.62,4.57,2.79
67,2.01,Ideal,J,SI2,60.8,57.0,8.15,8.13,4.95
68,1.01,Very Good,H,VS1,59.1,59.0,6.5,6.59,3.87
69,1.08,Ideal,G,IF,61.3,57.0,6.59,6.62,4.05
70,0.33,Very Good,I,SI1,61.4,58.0,4.46,4.5,2.75
71,0.31,Premium,G,VS1,62.2,58.0,4.34,4.38,2.71
72,0.4,Premium,G,SI1,61.1,61.0,4.76,4.7,2.89
73,0.48,Ideal,I,VVS2,62.1,56.0,5.01,5.04,3.12
74,1.0,Ideal,F,SI1,62.7,57.0,6.44,6.38,4.02
75,0.51,Ideal,G,VVS2,62.7,55.0,5.08,5.1,3.19
76,1.2,Very Good,F,VS2,61.1,59.0,6.81,6.87,4.18
77,1.51,Very Good,E,VS2,63.3,56.0,7.3,7.26,4.61
78,0.71,Ideal,E,SI1,61.6,53.0,5.79,5.73,3.55
79,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01
80,1.51,Premium,H,VS1,61.8,59.0,7.32,7.27,4.51
81,0.58,Ideal,F,VS1,61.2,57.0,5.36,5.39,3.29
82,1.62,Ideal,G,VS2,61.7,56.0,7.53,7.57,4.66
83,1.02,Premium,E,VS2,62.8,59.0,6.44,6.39,4.03
84,0.34,Ideal,F,VVS2,61.8,56.0,4.47,4.49,2.77
85,1.51,Good,I,SI1,63.7,61.0,7.15,7.11,4.54
86,0.34,Ideal,E,VVS1,61.9,56.0,4.47,4.51,2.78
87,1.7,Very Good,H,VS2,61.9,60.0,7.57,7.61,4.7
88,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49
89,1.75,Very Good,E,SI1,60.3,61.0,7.74,7.82,4.69
90,1.13,Ideal,F,SI2,61.8,57.0,6.71,6.68,4.14
91,0.41,Ideal,G,IF,61.7,56.0,4.8,4.77,2.95
92,0.34,Ideal,G,IF,62.1,54.0,4.48,4.5,2.79
93,0.31,Ideal,F,VVS2,61.2,56.0,4.39,4.37,2.68
94,5.01,Fair,J,I1,65.5,59.0,10.74,10.54,6.98
95,0.23,Good,E,VVS1,56.3,62.0,4.1,4.11,2.31
96,1.52,Premium,E,VS2,61.8,59.0,7.38,7.31,4.54
97,2.04,Ideal,I,SI1,62.8,57.0,8.09,8.02,5.06
98,1.65,Very Good,H,VS1,62.0,56.0,7.53,7.59,4.68
99,0.3,Very Good,G,VS1,63.1,58.0,4.28,4.24,2.69
100,0.67,Good,E,VS1,60.4,65.0,5.67,5.65,3.42
101,0.3,Ideal,G,VS1,61.4,55.0,4.38,4.32,2.67
102,0.34,Premium,H,VS2,61.9,56.0,4.49,4.46,2.77
103,0.27,Ideal,H,VS2,61.8,56.0,4.15,4.17,2.57
104,0.5,Ideal,I,SI1,61.5,54.0,5.13,5.15,3.16
105,0.51,Premium,E,VS2,61.7,58.0,5.12,5.15,3.17
106,0.46,Ideal,D,VS2,62.4,56.0,4.95,4.98,3.1
107,0.32,Premium,H,VVS2,61.6,55.0,4.44,4.42,2.73
108,0.48,Premium,F,SI1,60.6,62.0,5.06,5.0,3.05
109,0.31,Ideal,F,VS2,61.6,55.0,4.36,4.37,2.69
110,0.3,Good,E,VS2,59.7,63.0,4.32,4.35,2.59
111,0.43,Premium,G,VS1,61.0,58.0,4.92,4.89,2.99
112,0.7,Good,H,SI2,63.8,57.0,5.58,5.55,3.55
113,0.5,Ideal,E,VS2,61.3,57.0,5.13,5.15,3.15
114,0.6,Fair,G,SI1,65.7,55.0,5.31,5.23,3.46
115,1.05,Ideal,H,SI1,60.8,56.0,6.62,6.58,4.01
116,1.02,Premium,F,SI1,60.1,60.0,6.58,6.53,3.94
117,2.28,Ideal,I,SI2,62.9,57.0,8.41,8.34,5.27
118,0.27,Very Good,E,VS2,59.5,56.0,4.2,4.31,2.53
119,2.0,Ideal,F,SI2,62.0,57.0,8.03,8.1,5.0
120,0.5,Fair,F,VS2,64.6,58.0,5.01,4.99,3.23
121,0.5,Premium,F,VS1,62.0,58.0,5.03,5.1,3.14
122,0.45,Good,E,VS1,61.7,63.0,4.88,4.91,3.02
123,0.26,Premium,E,VS1,60.1,60.0,4.1,4.15,2.48
124,0.3,Premium,D,SI1,58.8,57.0,4.44,4.4,2.6
125,0.61,Ideal,J,VS2,59.7,59.0,5.54,5.47,3.29
126,0.53,Very Good,G,SI2,60.0,56.0,5.28,5.32,3.18
127,1.25,Ideal,E,VVS2,60.9,60.0,6.93,6.97,4.23
128,1.0,Ideal,E,SI1,62.7,57.0,6.39,6.49,4.04
129,1.06,Ideal,I,VS2,61.6,57.0,6.53,6.58,4.04
130,1.21,Ideal,D,SI2,62.0,57.0,6.81,6.83,4.23
131,1.0,Good,J,SI2,57.8,61.0,6.54,6.58,3.79
132,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02
133,0.36,Ideal,G,IF,61.7,56.0,4.57,4.6,2.83
134,1.0,Fair,J,VS1,65.5,55.0,6.3,6.25,4.11
135,0.43,Ideal,E,VS2,62.1,56.0,4.87,4.83,3.01
136,0.33,Very Good,G,VS2,61.5,59.4,4.45,4.49,2.75
137,1.0,Premium,G,VVS2,61.6,61.0,6.38,6.35,3.92
138,0.3,Ideal,H,VS1,61.4,54.0,4.33,4.37,2.67
139,1.02,Ideal,H,SI2,62.4,55.0,6.41,6.46,4.02
140,0.37,Ideal,I,IF,61.4,55.0,4.65,4.67,2.86
141,0.41,Ideal,I,VVS2,62.3,56.0,4.77,4.73,2.96
142,0.81,Ideal,E,SI1,61.9,55.0,5.98,6.01,3.71
143,0.9,Ideal,J,IF,62.2,57.0,6.17,6.14,3.83
144,0.31,Premium,G,VS1,61.2,60.0,4.39,4.37,2.68
145,1.28,Premium,I,VS2,61.7,60.0,7.05,6.95,4.32
146,2.14,Ideal,I,VS2,62.2,57.0,8.22,8.19,5.1
147,1.03,Premium,F,SI1,60.9,60.0,6.52,6.45,3.95
148,0.74,Very Good,D,SI2,61.4,57.0,5.82,5.84,3.58
149,0.7,Very Good,I,SI2,62.4,58.0,5.64,5.68,3.53
150,0.96,Ideal,I,I1,62.0,56.0,6.3,6.34,3.92
151,0.53,Ideal,E,VS2,61.7,58.0,5.16,5.27,3.22
152,1.63,Premium,F,SI1,59.7,62.0,7.73,7.65,4.59
153,0.81,Very Good,E,SI2,63.7,57.0,5.86,5.94,3.76
154,0.37,Premium,I,VS2,61.6,60.0,4.61,4.58,2.83
155,2.0,Very Good,H,SI2,63.0,59.0,7.94,8.07,5.04
156,1.21,Good,G,I1,64.0,59.0,6.78,6.73,4.32
157,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54
158,1.01,Premium,H,SI2,61.5,60.0,6.4,6.34,3.92
159,0.36,Ideal,D,VS2,62.0,54.0,4.6,4.62,2.86
160,1.55,Premium,J,VS2,60.7,59.0,7.5,7.47,4.54
161,1.25,Ideal,E,VS2,60.7,56.0,6.97,6.99,4.24
162,0.33,Premium,D,SI1,60.3,58.0,4.47,4.49,2.7
163,0.26,Ideal,E,VVS2,62.3,57.0,4.09,4.06,2.54
164,1.04,Very Good,E,SI1,59.6,59.0,6.56,6.59,3.92
165,1.02,Ideal,D,VVS2,62.0,56.0,6.43,6.48,4.0
166,0.71,Ideal,G,VS1,61.5,56.0,5.74,5.78,3.54
167,0.92,Good,F,VS2,63.1,57.0,6.11,6.16,3.87
168,0.71,Premium,D,VS1,59.2,59.0,5.9,5.85,3.48
169,1.91,Good,I,SI2,62.8,58.0,7.82,7.89,4.93
170,0.33,Ideal,G,VS1,61.1,55.0,4.5,4.52,2.75
171,0.5,Premium,G,VS1,62.5,60.0,5.08,5.06,3.17
172,1.13,Premium,E,SI2,59.4,62.0,6.83,6.78,4.04
173,0.51,Very Good,G,IF,63.8,58.0,5.06,5.09,3.24
174,1.01,Ideal,G,VS2,61.6,56.0,6.46,6.43,3.97
175,0.56,Ideal,F,VS2,60.8,56.0,5.33,5.3,3.23
176,1.01,Ideal,I,SI1,62.4,56.0,6.36,6.4,3.98
177,0.7,Very Good,E,VVS2,61.5,58.0,5.67,5.71,3.5
178,0.7,Very Good,F,VS2,61.7,58.0,5.63,5.69,3.49
179,0.96,Premium,H,SI2,59.2,61.0,6.42,6.36,3.78
180,0.9,Very Good,F,SI2,63.1,56.0,6.18,6.12,3.88
181,0.64,Good,E,SI2,56.6,59.0,5.77,5.74,3.26
182,0.31,Ideal,F,IF,61.8,54.0,4.33,4.37,2.69
183,0.51,Very Good,G,VS1,62.7,58.0,5.05,5.09,3.18
184,0.31,Ideal,E,VS2,61.5,56.0,4.34,4.37,2.68
185,1.0,Premium,G,SI2,62.7,59.0,6.36,6.3,3.97
186,0.4,Premium,F,VS2,59.3,59.0,4.79,4.83,2.85
187,0.38,Ideal,F,VS2,62.1,53.8,4.66,4.67,2.9
188,0.23,Very Good,E,VVS2,64.1,58.0,3.85,3.89,2.48
189,0.55,Ideal,G,VS1,61.5,57.0,5.28,5.23,3.23
190,0.55,Ideal,F,VVS2,62.4,55.0,5.24,5.28,3.28
191,0.33,Ideal,H,VVS2,61.6,55.0,4.48,4.51,2.77
192,0.35,Ideal,F,VS2,62.3,55.0,4.56,4.53,2.83
193,1.0,Ideal,G,VS2,60.5,56.0,6.54,6.49,3.94
194,0.95,Very Good,D,SI2,60.1,61.0,6.35,6.37,3.82
195,0.7,Ideal,I,VS2,61.4,56.0,5.72,5.75,3.52
196,0.31,Ideal,F,VS2,61.9,55.0,4.31,4.35,2.68
197,1.55,Premium,G,VS2,60.5,60.0,7.49,7.46,4.52
198,0.32,Premium,H,VS2,60.6,58.0,4.47,4.44,2.7
199,1.24,Ideal,F,VS2,61.4,57.0,6.98,6.86,4.25
200,1.42,Fair,G,VS2,59.6,66.0,7.31,7.23,4.33
201,1.08,Ideal,H,VS1,62.0,55.0,6.56,6.6,4.08
202,0.3,Very Good,I,VVS1,63.1,57.0,4.29,4.27,2.7
203,0.43,Ideal,E,SI2,61.9,57.0,4.83,4.86,3.0
204,1.0,Very Good,F,VS2,61.6,56.0,6.42,6.47,3.97
205,1.06,Premium,J,SI2,61.3,60.0,6.59,6.52,4.02
206,0.31,Very Good,G,VS1,60.5,57.0,4.39,4.42,2.67
207,0.71,Very Good,F,VS1,62.2,58.0,5.66,5.72,3.54
208,0.31,Premium,F,IF,61.6,58.0,4.33,4.37,2.68
209,1.61,Premium,H,SI2,60.3,60.0,7.66,7.57,4.59
210,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48
211,1.18,Ideal,I,VVS1,59.7,54.0,6.99,6.92,4.15
212,1.51,Ideal,H,VS2,62.5,55.0,7.29,7.34,4.57
213,0.3,Premium,J,VS1,62.6,58.0,4.28,4.31,2.69
214,0.53,Very Good,I,VS2,60.3,60.1,5.22,5.25,3.16
215,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7
216,0.72,Ideal,I,VVS2,61.6,57.0,5.73,5.76,3.54
217,0.7,Premium,E,SI1,61.0,58.0,5.78,5.72,3.51
218,0.43,Ideal,I,VS1,62.2,53.0,4.86,4.91,3.04
219,0.72,Good,F,I1,63.6,58.0,5.72,5.62,3.6
220,1.0,Premium,J,I1,58.3,58.0,6.61,6.51,3.82
221,0.61,Ideal,G,VS1,62.1,56.0,5.42,5.44,3.37
222,1.21,Ideal,F,VS2,61.3,56.0,6.86,6.91,4.22
223,0.39,Ideal,D,VS1,61.8,57.0,4.68,4.7,2.9
224,0.43,Premium,F,VVS2,61.6,60.0,4.86,4.82,2.98
225,1.01,Ideal,I,SI1,60.0,60.0,6.53,6.57,3.93
226,0.9,Good,I,VVS2,64.8,55.0,6.04,6.15,3.95
227,0.7,Premium,F,SI2,62.9,60.0,5.57,5.49,3.48
228,1.31,Very Good,I,VS2,61.2,58.0,7.01,7.05,4.3
229,0.58,Ideal,G,VS1,62.2,55.0,5.32,5.35,3.32
230,1.01,Very Good,F,SI1,62.4,59.0,6.37,6.42,3.99
231,0.52,Premium,E,SI1,61.8,60.0,5.18,5.15,3.19
232,0.34,Good,D,VVS1,57.4,62.0,4.67,4.71,2.69
233,0.5,Ideal,F,VS2,62.4,56.0,5.1,5.13,3.19
234,0.34,Ideal,D,VS2,62.9,55.0,4.47,4.43,2.8
235,1.5,Ideal,G,SI2,60.5,57.0,7.4,7.43,4.49
236,0.4,Ideal,D,VVS2,62.2,55.0,4.72,4.74,2.94
237,0.43,Premium,D,SI1,62.4,60.0,4.82,4.79,3.0
238,1.01,Good,I,VS1,64.2,60.0,6.35,6.27,4.05
239,1.02,Very Good,G,IF,62.3,59.0,6.36,6.45,3.99
240,1.27,Very Good,I,VS2,59.2,60.0,7.11,7.08,4.2
241,0.36,Premium,E,VS2,62.0,58.0,4.56,4.54,2.82
242,2.01,Ideal,I,SI1,62.3,57.0,8.04,8.08,5.02
243,1.01,Premium,E,SI2,62.5,60.0,6.39,6.42,4.0
244,0.31,Good,D,SI2,63.7,58.0,4.27,4.3,2.73
245,0.41,Ideal,F,VS2,62.3,57.0,4.78,4.75,2.97
246,0.71,Ideal,I,VVS2,62.2,54.0,5.7,5.75,3.56
247,1.1,Premium,G,VS1,58.4,60.0,6.85,6.81,3.99
248,1.22,Ideal,E,VS1,61.8,56.0,6.84,6.88,4.24
249,1.12,Ideal,G,SI1,62.0,55.0,6.68,6.65,4.13
250,0.92,Ideal,E,VS1,62.6,57.0,6.18,6.13,3.85
251,0.46,Ideal,G,IF,62.1,56.0,4.93,4.96,3.07
252,0.8,Good,F,SI1,63.8,59.0,5.87,5.83,3.73
253,1.13,Ideal,E,SI2,61.8,57.0,6.68,6.65,4.12
254,1.0,Premium,E,SI1,59.1,58.0,6.52,6.44,3.83
255,0.43,Premium,E,VVS2,60.8,57.0,4.92,4.89,2.98
256,0.31,Ideal,G,VS1,62.4,55.0,4.33,4.35,2.71
257,0.7,Very Good,I,SI1,63.0,56.0,5.61,5.66,3.55
258,0.34,Premium,H,VVS1,61.2,58.0,4.48,4.51,2.75
259,1.52,Ideal,E,VS2,62.4,55.0,7.42,7.32,4.6
260,1.08,Premium,G,VS2,60.1,59.0,6.7,6.64,4.01
261,1.0,Premium,G,SI1,60.5,61.0,6.51,6.45,3.92
262,0.54,Ideal,G,VS1,62.3,55.0,5.24,5.2,3.25
263,0.8,Very Good,E,VS1,62.4,54.0,5.98,5.94,3.72
264,0.31,Ideal,F,VS1,62.4,55.0,4.37,4.35,2.72
265,0.57,Very Good,F,VVS2,60.7,58.0,5.32,5.35,3.24
266,2.16,Ideal,H,I1,62.2,56.0,8.31,8.26,5.15
267,0.52,Premium,D,VS2,62.4,58.0,5.09,5.13,3.19
268,0.43,Very Good,I,IF,61.0,56.0,4.9,4.93,3.0
269,1.04,Premium,F,VVS2,61.6,59.0,6.53,6.49,4.01
270,1.02,Very Good,E,VS1,61.0,58.0,6.46,6.52,3.96
271,0.36,Premium,G,VS1,62.2,59.0,4.53,4.57,2.83
272,1.12,Premium,G,SI2,61.0,60.0,6.7,6.64,4.07
273,1.0,Good,D,SI1,64.1,56.0,6.28,6.24,4.01
274,0.31,Premium,I,SI1,60.7,60.0,4.37,4.33,2.64
275,0.32,Ideal,F,VVS1,62.1,54.0,4.41,4.42,2.74
276,1.02,Ideal,G,VS2,62.8,57.0,6.46,6.41,4.04
277,0.36,Ideal,H,SI1,62.3,57.0,4.54,4.58,2.84
278,1.57,Very Good,J,SI2,62.1,60.0,7.37,7.41,4.59
279,1.56,Ideal,H,SI2,62.1,58.0,7.35,7.41,4.58
280,0.57,Ideal,H,VS2,61.7,55.0,5.37,5.34,3.3
281,0.72,Ideal,G,VS2,62.8,56.0,5.74,5.7,3.59
282,1.0,Good,G,SI2,61.7,63.0,6.36,6.37,3.93
283,1.5,Very Good,E,SI2,63.3,57.0,7.28,7.23,4.59
284,1.22,Premium,F,VS2,62.0,58.0,6.86,6.89,4.26
285,1.63,Ideal,I,VS2,61.8,56.0,7.56,7.59,4.68
286,1.2,Ideal,J,VS2,62.2,54.0,6.84,6.8,4.24
287,1.73,Very Good,G,VS2,62.9,58.0,7.58,7.65,4.79
288,0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2
289,1.21,Premium,J,VVS1,61.3,59.0,6.81,6.86,4.19
290,0.23,Very Good,G,VS2,62.8,53.0,3.91,3.93,2.46
291,1.52,Premium,J,VVS2,58.3,62.0,7.61,7.49,4.4
292,2.16,Ideal,H,SI1,61.9,57.0,8.3,8.38,5.16
293,0.32,Ideal,E,VS1,61.8,55.0,4.43,4.4,2.73
294,1.06,Ideal,G,VS1,61.6,56.0,6.53,6.57,4.04
295,0.52,Ideal,F,VS1,62.5,57.0,5.13,5.17,3.22
296,0.7,Very Good,E,SI2,60.2,64.0,5.67,5.7,3.42
297,0.27,Ideal,E,VVS1,62.3,56.0,4.15,4.17,2.59
298,0.33,Ideal,J,SI2,62.4,54.0,4.43,4.45,2.77
299,1.24,Very Good,I,SI1,61.4,59.0,6.86,6.92,4.23
300,1.03,Fair,E,I1,78.2,54.0,5.72,5.59,4.42
301,0.44,Ideal,H,VVS1,61.1,57.0,4.87,4.92,2.99
302,0.79,Very Good,F,VS1,58.6,57.0,6.08,6.14,3.58
303,0.96,Ideal,G,VS1,61.1,56.0,6.34,6.39,3.89
304,1.0,Ideal,D,SI1,60.2,57.0,6.48,6.54,3.92
305,1.59,Very Good,J,VS1,60.7,59.0,7.49,7.54,4.56
306,0.41,Ideal,F,VS1,61.8,56.0,4.79,4.75,2.95
307,0.32,Ideal,E,IF,62.0,55.0,4.37,4.41,2.72
308,0.5,Ideal,D,VS2,60.7,57.0,5.12,5.22,3.14
309,0.71,Premium,F,SI2,60.6,58.0,5.77,5.72,3.48
310,0.51,Ideal,F,VS1,61.7,54.0,5.14,5.17,3.18
311,0.3,Good,G,SI2,63.7,54.0,4.25,4.23,2.7
312,1.51,Premium,J,VS2,62.3,59.0,7.35,7.31,4.57
313,1.01,Premium,H,VS2,61.2,59.0,6.45,6.47,3.95
314,0.71,Ideal,E,SI2,62.6,55.0,5.72,5.68,3.57
315,1.71,Premium,G,SI2,62.6,57.0,7.66,7.6,4.78
316,0.38,Very Good,J,VVS2,63.4,56.0,4.62,4.56,2.91
317,0.52,Very Good,I,SI1,62.5,59.0,5.06,5.12,3.18
318,0.33,Premium,E,VS1,60.9,58.0,4.49,4.45,2.72
319,1.2,Premium,F,VS2,62.1,54.0,6.77,6.73,4.19
320,1.01,Good,F,SI1,63.5,59.0,6.3,6.39,4.03
321,0.37,Good,G,SI2,63.4,57.0,4.55,4.57,2.89
322,0.32,Very Good,H,SI1,61.9,58.0,4.34,4.38,2.7
323,0.23,Very Good,E,VVS2,62.3,55.0,3.9,3.93,2.44
324,0.44,Premium,I,VS1,62.8,56.0,4.88,4.83,3.05
325,1.11,Premium,H,VS2,62.6,58.0,6.63,6.59,4.14
326,0.5,Very Good,F,VS1,62.3,55.0,5.06,5.09,3.16
327,0.57,Premium,F,VS2,60.3,58.0,5.44,5.4,3.27
328,1.03,Ideal,H,VVS2,62.2,55.0,6.43,6.49,4.03
329,0.29,Premium,E,SI1,58.4,60.0,4.34,4.32,2.53
330,2.08,Premium,H,SI1,62.6,59.0,8.1,8.13,5.08
331,0.71,Good,F,SI1,63.7,58.0,5.65,5.62,3.59
332,0.37,Very Good,G,VS1,63.1,56.0,4.59,4.57,2.89
333,1.5,Ideal,I,SI1,62.7,57.0,7.21,7.3,4.55
334,0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56
335,0.56,Premium,E,VS2,61.8,59.0,5.27,5.34,3.28
336,2.01,Ideal,J,VS1,60.9,56.0,8.14,8.18,4.97
337,0.32,Ideal,E,VVS2,62.0,55.0,4.4,4.38,2.72
338,0.37,Ideal,G,VVS2,60.7,55.0,4.66,4.7,2.84
339,1.21,Premium,D,SI2,62.2,60.0,6.83,6.8,4.24
340,0.31,Ideal,F,VS2,61.6,56.0,4.35,4.39,2.69
341,0.54,Very Good,D,SI1,62.1,58.0,5.21,5.23,3.24
342,0.26,Ideal,F,VVS2,62.5,56.0,4.1,4.12,2.57
343,1.01,Premium,D,SI2,60.9,62.0,6.45,6.43,3.92
344,1.06,Good,E,SI2,63.9,60.0,6.45,6.41,4.11
345,0.53,Ideal,F,VS2,61.1,56.0,5.26,5.22,3.2
346,0.31,Very Good,D,SI1,63.5,56.0,4.31,4.29,2.73
347,0.7,Very Good,F,VS2,62.9,57.0,5.59,5.63,3.53
348,1.01,Ideal,D,SI2,63.0,54.0,6.43,6.39,4.04
349,0.32,Ideal,E,VS2,62.8,54.0,4.38,4.35,2.74
350,0.71,Ideal,D,VS2,60.1,56.0,5.77,5.83,3.48
351,0.27,Ideal,H,VS1,61.6,56.0,4.18,4.2,2.58
352,1.04,Very Good,I,I1,61.6,61.0,6.45,6.47,3.98
353,0.56,Ideal,F,VS1,61.7,54.0,5.34,5.3,3.28
354,0.33,Ideal,H,VS1,61.9,55.0,4.46,4.49,2.77
355,0.51,Ideal,H,VS1,62.7,57.0,5.08,5.13,3.2
356,0.32,Ideal,E,VS2,62.1,56.0,4.38,4.41,2.73
357,1.51,Premium,E,SI1,62.8,59.0,7.3,7.26,4.57
358,0.5,Very Good,H,VS1,61.6,57.0,5.11,5.13,3.15
359,0.23,Very Good,F,VVS2,58.1,63.0,4.04,4.08,2.36
360,0.4,Premium,F,VS2,62.1,58.0,4.76,4.71,2.94
361,1.03,Ideal,G,VVS1,62.4,57.0,6.47,6.39,4.01
362,0.3,Ideal,I,VVS1,62.1,54.0,4.29,4.31,2.67
363,1.7,Premium,J,VS2,61.0,59.0,7.66,7.62,4.66
364,0.96,Fair,H,VS2,68.8,56.0,6.11,5.98,4.16
365,0.25,Ideal,E,VVS1,61.2,57.0,4.12,4.08,2.51
366,0.3,Premium,I,VVS1,62.5,60.0,4.27,4.24,2.66
367,0.9,Good,F,VS2,60.0,58.0,6.21,6.26,3.74
368,0.5,Ideal,D,VS2,61.5,57.0,5.07,5.11,3.13
369,0.3,Ideal,G,VS1,61.8,56.0,4.32,4.35,2.68
370,0.31,Premium,F,VS2,62.3,59.0,4.29,4.34,2.69
371,0.28,Ideal,F,IF,61.4,57.0,4.22,4.25,2.6
372,1.68,Good,E,I1,64.3,60.0,7.44,7.48,4.8
373,0.3,Ideal,G,VVS1,62.1,56.0,4.35,4.28,2.68
374,0.24,Very Good,F,VS1,62.0,56.0,3.94,3.99,2.46
375,0.41,Ideal,D,SI1,60.5,57.0,4.81,4.85,2.92
376,0.32,Ideal,G,VS1,60.7,56.0,4.43,4.46,2.7
377,1.01,Very Good,I,SI1,59.7,60.0,6.49,6.55,3.89
378,0.62,Premium,E,VVS2,62.0,56.0,5.48,5.42,3.38
379,0.3,Ideal,F,VS2,62.6,54.0,4.3,4.33,2.7
